"Title","Authors"
"Zero-shot text-to-image generation","A Ramesh, M Pavlov, G Goh, S Gray - International , 2021 - proceedings.mlr.press"
"Pyramid vision transformer: A versatile backbone for dense prediction without convolutions","W Wang, E Xie, X Li, DP Fan, K Song - Proceedings of the , 2021 - openaccess.thecvf.com"
"Social physics","M Jusup, P Holme, K Kanazawa, M Takayasu, I Romić - Physics Reports, 2022 - Elsevier"
"Dynamic head: Unifying object detection heads with attentions","X Dai, Y Chen, B Xiao, D Chen, M Liu - Proceedings of the , 2021 - openaccess.thecvf.com"
"Pointr: Diverse point cloud completion with geometry-aware transformers","X Yu, Y Rao, Z Wang, Z Liu, J Lu - Proceedings of the , 2021 - openaccess.thecvf.com"
"Perceiver: General perception with iterative attention","A Jaegle, F Gimeno, A Brock - International , 2021 - proceedings.mlr.press"
"You only look one-level feature","Q Chen, Y Wang, T Yang, X Zhang - Proceedings of the , 2021 - openaccess.thecvf.com"
"Revisiting deep learning models for tabular data","Y Gorishniy, I Rubachev, V Khrulkov - Advances in Neural , 2021 - proceedings.neurips.cc"
"Cliport: What and where pathways for robotic manipulation","M Shridhar, L Manuelli, D Fox - Conference on Robot , 2022 - proceedings.mlr.press"
" Is space-time attention all you need for video understanding?","G Bertasius, H Wang, L Torresani - ICML, 2021 - proceedings.mlr.press"
"Transunet: Transformers make strong encoders for medical image segmentation","J Chen, Y Lu, Q Yu, X Luo, E Adeli, Y Wang - arXiv preprint arXiv , 2021 - arxiv.org"
"Training spiking neural networks using lessons from deep learning","JK Eshraghian, M Ward, EO Neftci - Proceedings of the , 2023 - ieeexplore.ieee.org"
"Deep neural networks and tabular data: A survey","V Borisov, T Leemann, K Se©¬ler, J Haug -  on Neural Networks , 2022 - ieeexplore.ieee.org"
"[HTML][HTML] How does ChatGPT perform on the United States medical licensing examination? The implications of large language models for medical education and ¡¦","A Gilson, CW Safranek, T Huang, V Socrates - JMIR Medical , 2023 - mededu.jmir.org"
"Transformer meets tracker: Exploiting temporal context for robust visual tracking","N Wang, W Zhou, J Wang, H Li - Proceedings of the IEEE , 2021 - openaccess.thecvf.com"
"[HTML][HTML] Effective gene expression prediction from sequence by integrating long-range interactions","Ž Avsec, V Agarwal, D Visentin, JR Ledsam - Nature , 2021 - nature.com"
"Large language models generate functional protein sequences across diverse families","A Madani, B Krause, ER Greene, S Subramanian - Nature , 2023 - nature.com"
"Adaptformer: Adapting vision transformers for scalable visual recognition","S Chen, C Ge, Z Tong, J Wang - Advances in , 2022 - proceedings.neurips.cc"
"Tokens-to-token vit: Training vision transformers from scratch on imagenet","L Yuan, Y Chen, T Wang, W Yu, Y Shi - Proceedings of the , 2021 - openaccess.thecvf.com"
"Observation-centric sort: Rethinking sort for robust multi-object tracking","J Cao, J Pang, X Weng - Proceedings of the , 2023 - openaccess.thecvf.com"
"Bottleneck transformers for visual recognition","A Srinivas, TY Lin, N Parmar, J Shlens - Proceedings of the , 2021 - openaccess.thecvf.com"
"Conceptual 12m: Pushing web-scale image-text pre-training to recognize long-tail visual concepts","S Changpinyo, P Sharma, N Ding - Proceedings of the , 2021 - openaccess.thecvf.com"
"On the dangers of stochastic parrots: Can language models be too big?🦜","EM Bender, T Gebru, A McMillan-Major - Proceedings of the 2021 , 2021 - dl.acm.org"
"Transreid: Transformer-based object re-identification","S He, H Luo, P Wang, F Wang, H Li - Proceedings of the , 2021 - openaccess.thecvf.com"
"Directed evolution: methodologies and applications","Y Wang, P Xue, M Cao, T Yu, ST Lane - Chemical reviews, 2021 - ACS Publications"
"Cogview2: Faster and better text-to-image generation via hierarchical transformers","M Ding, W Zheng, W Hong - Advances in Neural , 2022 - proceedings.neurips.cc"
"Ibrnet: Learning multi-view image-based rendering","Q Wang, Z Wang, K Genova - Proceedings of the , 2021 - openaccess.thecvf.com"
"You only learn one representation: Unified network for multiple tasks","CY Wang, IH Yeh, HYM Liao - arXiv preprint arXiv:2105.04206, 2021 - arxiv.org"
"Pointclip: Point cloud understanding by clip","R Zhang, Z Guo, W Zhang, K Li - Proceedings of the , 2022 - openaccess.thecvf.com"
"Cross-view transformers for real-time map-view semantic segmentation","B Zhou, P Krähenbühl -  of the IEEE/CVF conference on , 2022 - openaccess.thecvf.com"
"Extract free dense labels from clip","C Zhou, CC Loy, B Dai - European Conference on Computer Vision, 2022 - Springer"
"Multi-game decision transformers","KH Lee, O Nachum, MS Yang, L Lee - Advances in , 2022 - proceedings.neurips.cc"
"Vitae: Vision transformer advanced by exploring intrinsic inductive bias","Y Xu, Q Zhang, J Zhang, D Tao - Advances in neural , 2021 - proceedings.neurips.cc"
"Recipe for a general, powerful, scalable graph transformer","L Rampášek, M Galkin, VP Dwivedi - Advances in , 2022 - proceedings.neurips.cc"
"Ast: Audio spectrogram transformer","Y Gong, YA Chung, J Glass - arXiv preprint arXiv:2104.01778, 2021 - arxiv.org"
"Focal self-attention for local-global interactions in vision transformers","J Yang, C Li, P Zhang, X Dai, B Xiao, L Yuan - arXiv preprint arXiv , 2021 - arxiv.org"
"Incorporating convolution designs into visual transformers","K Yuan, S Guo, Z Liu, A Zhou - Proceedings of the , 2021 - openaccess.thecvf.com"
"Learning to prompt for continual learning","Z Wang, Z Zhang, CY Lee, H Zhang - Proceedings of the , 2022 - openaccess.thecvf.com"
"Diffusionclip: Text-guided diffusion models for robust image manipulation","G Kim, T Kwon, JC Ye -  of the IEEE/CVF Conference on , 2022 - openaccess.thecvf.com"
"Switch transformers: Scaling to trillion parameter models with simple and efficient sparsity","W Fedus, B Zoph, N Shazeer - The Journal of Machine Learning , 2022 - dl.acm.org"
"Barf: Bundle-adjusting neural radiance fields","CH Lin, WC Ma, A Torralba - Proceedings of the IEEE , 2021 - openaccess.thecvf.com"
"Clip4clip: An empirical study of clip for end to end video clip retrieval and captioning","H Luo, L Ji, M Zhong, Y Chen, W Lei, N Duan, T Li - Neurocomputing, 2022 - Elsevier"
"Learning transferable visual models from natural language supervision","A Radford, JW Kim, C Hallacy - International , 2021 - proceedings.mlr.press"
"Less is more: Clipbert for video-and-language learning via sparse sampling","J Lei, L Li, L Zhou, Z Gan, TL Berg - Proceedings of the , 2021 - openaccess.thecvf.com"
"Transformers in vision: A survey","S Khan, M Naseer, M Hayat, SW Zamir - ACM computing , 2022 - dl.acm.org"
"Rethinking semantic segmentation from a sequence-to-sequence perspective with transformers","S Zheng, J Lu, H Zhao, X Zhu, Z Luo - Proceedings of the , 2021 - openaccess.thecvf.com"
"Prefix-tuning: Optimizing continuous prompts for generation","XL Li, P Liang - arXiv preprint arXiv:2101.00190, 2021 - arxiv.org"
"Levit: a vision transformer in convnet's clothing for faster inference","B Graham, A El-Nouby, H Touvron - Proceedings of the , 2021 - openaccess.thecvf.com"
"Perceiver io: A general architecture for structured inputs & outputs","A Jaegle, S Borgeaud, JB Alayrac, C Doersch - arXiv preprint arXiv , 2021 - arxiv.org"
"Large language models struggle to learn long-tail knowledge","N Kandpal, H Deng, A Roberts - International , 2023 - proceedings.mlr.press"
"Localvit: Bringing locality to vision transformers","Y Li, K Zhang, J Cao, R Timofte, L Van Gool - arXiv preprint arXiv , 2021 - arxiv.org"
"Transmil: Transformer based correlated multiple instance learning for whole slide image classification","Z Shao, H Bian, Y Chen, Y Wang - Advances in neural , 2021 - proceedings.neurips.cc"
"High-performance large-scale image recognition without normalization","A Brock, S De, SL Smith -  Conference on Machine , 2021 - proceedings.mlr.press"
"Training data-efficient image transformers & distillation through attention","H Touvron, M Cord, M Douze, F Massa - International , 2021 - proceedings.mlr.press"
"Merlot: Multimodal neural script knowledge models","R Zellers, X Lu, J Hessel, Y Yu - Advances in , 2021 - proceedings.neurips.cc"
"Open-vocabulary object detection via vision and language knowledge distillation","X Gu, TY Lin, W Kuo, Y Cui - arXiv preprint arXiv:2104.13921, 2021 - arxiv.org"
"Transfuse: Fusing transformers and cnns for medical image segmentation","Y Zhang, H Liu, Q Hu - Medical Image Computing and Computer Assisted , 2021 - Springer"
"Taming transformers for high-resolution image synthesis","P Esser, R Rombach, B Ommer - Proceedings of the IEEE , 2021 - openaccess.thecvf.com"
"Point transformer","H Zhao, L Jiang, J Jia, PHS Torr - Proceedings of the , 2021 - openaccess.thecvf.com"
"Vision-language pre-training with triple contrastive learning","J Yang, J Duan, S Tran, Y Xu - Proceedings of the , 2022 - openaccess.thecvf.com"
"Informer: Beyond efficient transformer for long sequence time-series forecasting","H Zhou, S Zhang, J Peng, S Zhang, J Li - Proceedings of the , 2021 - ojs.aaai.org"
"A survey on vision transformer","K Han, Y Wang, H Chen, X Chen, J Guo - IEEE transactions on , 2022 - ieeexplore.ieee.org"
"Convnext v2: Co-designing and scaling convnets with masked autoencoders","S Woo, S Debnath, R Hu, X Chen - Proceedings of the , 2023 - openaccess.thecvf.com"
"Pct: Point cloud transformer","MH Guo, JX Cai, ZN Liu, TJ Mu, RR Martin - Computational Visual , 2021 - Springer"
"Trackformer: Multi-object tracking with transformers","T Meinhardt, A Kirillov, L Leal-Taixe - Proceedings of the , 2022 - openaccess.thecvf.com"
"Glipv2: Unifying localization and vision-language understanding","H Zhang, P Zhang, X Hu, YC Chen - Advances in , 2022 - proceedings.neurips.cc"
"Emergent analogical reasoning in large language models","T Webb, KJ Holyoak, H Lu - Nature Human Behaviour, 2023 - nature.com"
"Extracting training data from large language models","N Carlini, F Tramer, E Wallace, M Jagielski - 30th USENIX Security , 2021 - usenix.org"
"Deep bidirectional language-knowledge graph pretraining","M Yasunaga, A Bosselut, H Ren - Advances in , 2022 - proceedings.neurips.cc"
"Merlot reserve: Neural script knowledge through vision and language and sound","R Zellers, J Lu, X Lu, Y Yu, Y Zhao - Proceedings of the , 2022 - openaccess.thecvf.com"
"Deepvit: Towards deeper vision transformer","D Zhou, B Kang, X Jin, L Yang, X Lian, Z Jiang - arXiv preprint arXiv , 2021 - arxiv.org"
"Vision transformer adapter for dense predictions","Z Chen, Y Duan, W Wang, J He, T Lu, J Dai - arXiv preprint arXiv , 2022 - arxiv.org"
"Understanding the robustness in vision transformers","D Zhou, Z Yu, E Xie, C Xiao - International , 2022 - proceedings.mlr.press"
"Program synthesis with large language models","J Austin, A Odena, M Nye, M Bosma - arXiv preprint arXiv , 2021 - arxiv.org"
"Pre-trained image processing transformer","H Chen, Y Wang, T Guo, C Xu - Proceedings of the , 2021 - openaccess.thecvf.com"
"Scaling local self-attention for parameter efficient visual backbones","A Vaswani, P Ramachandran - Proceedings of the , 2021 - openaccess.thecvf.com"
"Actionformer: Localizing moments of actions with transformers","CL Zhang, J Wu, Y Li - European Conference on Computer Vision, 2022 - Springer"
"BioGPT: generative pre-trained transformer for biomedical text generation and mining","R Luo, L Sun, Y Xia, T Qin, S Zhang - Briefings in , 2022 - academic.oup.com"
"Multiview transformers for video recognition","S Yan, X Xiong, A Arnab, Z Lu - Proceedings of the , 2022 - openaccess.thecvf.com"
"Multi-modal fusion transformer for end-to-end autonomous driving","A Prakash, K Chitta, A Geiger - Proceedings of the IEEE , 2021 - openaccess.thecvf.com"
"Sparse r-cnn: End-to-end object detection with learnable proposals","P Sun, R Zhang, Y Jiang, T Kong - Proceedings of the , 2021 - openaccess.thecvf.com"
"Scaling vision with sparse mixture of experts","C Riquelme, J Puigcerver, B Mustafa - Advances in , 2021 - proceedings.neurips.cc"
"Rethinking semantic segmentation: A prototype view","T Zhou, W Wang, E Konukoglu - Proceedings of the , 2022 - openaccess.thecvf.com"
"Unifying vision-and-language tasks via text generation","J Cho, J Lei, H Tan, M Bansal - International Conference on , 2021 - proceedings.mlr.press"
"Deit iii: Revenge of the vit","H Touvron, M Cord, H Jégou - European Conference on Computer Vision, 2022 - Springer"
"[HTML][HTML] Multimodal biomedical AI","JN Acosta, GJ Falcone, P Rajpurkar, EJ Topol - Nature Medicine, 2022 - nature.com"
"Real-world robot learning with masked visual pre-training","I Radosavovic, T Xiao, S James -  on Robot Learning, 2023 - proceedings.mlr.press"
"Videoclip: Contrastive pre-training for zero-shot video-text understanding","H Xu, G Ghosh, PY Huang, D Okhonko - arXiv preprint arXiv , 2021 - arxiv.org"
"Graph neural network for traffic forecasting: A survey","W Jiang, J Luo - Expert Systems with Applications, 2022 - Elsevier"
"Unsupervised speech recognition","A Baevski, WN Hsu, A Conneau - Advances in Neural , 2021 - proceedings.neurips.cc"
"Fastnerf: High-fidelity neural rendering at 200fps","SJ Garbin, M Kowalski, M Johnson - Proceedings of the , 2021 - openaccess.thecvf.com"
"End-to-end video instance segmentation with transformers","Y Wang, Z Xu, X Wang, C Shen - Proceedings of the , 2021 - openaccess.thecvf.com"
"Vision gnn: An image is worth graph of nodes","K Han, Y Wang, J Guo, Y Tang - Advances in Neural , 2022 - proceedings.neurips.cc"
"D-nerf: Neural radiance fields for dynamic scenes","A Pumarola, E Corona, G Pons-Moll - Proceedings of the , 2021 - openaccess.thecvf.com"
"Resmlp: Feedforward networks for image classification with data-efficient training","H Touvron, P Bojanowski, M Caron -  on Pattern Analysis , 2022 - ieeexplore.ieee.org"
"[HTML][HTML] A review of uncertainty quantification in deep learning: Techniques, applications and challenges","M Abdar, F Pourpanah, S Hussain, D Rezazadegan - Information fusion, 2021 - Elsevier"
"Davit: Dual attention vision transformers","M Ding, B Xiao, N Codella, P Luo, J Wang - European Conference on , 2022 - Springer"
"[HTML][HTML] Geometry-enhanced molecular representation learning for property prediction","X Fang, L Liu, J Lei, D He, S Zhang, J Zhou - Nature Machine , 2022 - nature.com"
"Fcanet: Frequency channel attention networks","Z Qin, P Zhang, F Wu, X Li - Proceedings of the IEEE/CVF , 2021 - openaccess.thecvf.com"
"Conditional positional encodings for vision transformers","X Chu, Z Tian, B Zhang, X Wang, X Wei, H Xia - arXiv preprint arXiv , 2021 - arxiv.org"
"Unified pre-training for program understanding and generation","WU Ahmad, S Chakraborty, B Ray - arXiv preprint arXiv , 2021 - arxiv.org"
"Ota: Optimal transport assignment for object detection","Z Ge, S Liu, Z Li, O Yoshie - Proceedings of the IEEE , 2021 - openaccess.thecvf.com"
"Transformers in time series: A survey","Q Wen, T Zhou, C Zhang, W Chen, Z Ma, J Yan - arXiv preprint arXiv , 2022 - arxiv.org"
"Remote sensing image change detection with transformers","H Chen, Z Qi, Z Shi - IEEE Transactions on Geoscience and , 2021 - ieeexplore.ieee.org"
"Sparsity in deep learning: Pruning and growth for efficient inference and training in neural networks","T Hoefler, D Alistarh, T Ben-Nun, N Dryden - The Journal of Machine , 2021 - dl.acm.org"
"Dynamic detr: End-to-end object detection with dynamic attention","X Dai, Y Chen, J Yang, P Zhang - Proceedings of the , 2021 - openaccess.thecvf.com"
"Global filter networks for image classification","Y Rao, W Zhao, Z Zhu, J Lu - Advances in neural , 2021 - proceedings.neurips.cc"
"Unified contrastive learning in image-text-label space","J Yang, C Li, P Zhang, B Xiao, C Liu - Proceedings of the , 2022 - openaccess.thecvf.com"
"Underspecification presents challenges for credibility in modern machine learning","A D'Amour, K Heller, D Moldovan, B Adlam - The Journal of Machine , 2022 - dl.acm.org"
"mT5: A massively multilingual pre-trained text-to-text transformer","L Xue, N Constant, A Roberts, M Kale - arXiv preprint arXiv , 2020 - arxiv.org"
"Neural operator: Learning maps between function spaces","N Kovachki, Z Li, B Liu, K Azizzadenesheli - arXiv preprint arXiv , 2021 - arxiv.org"
"End-to-end human pose and mesh reconstruction with transformers","K Lin, L Wang, Z Liu -  of the IEEE/CVF conference on , 2021 - openaccess.thecvf.com"
"Codexglue: A machine learning benchmark dataset for code understanding and generation","S Lu, D Guo, S Ren, J Huang, A Svyatkovskiy - arXiv preprint arXiv , 2021 - arxiv.org"
"Common objects in 3d: Large-scale learning and evaluation of real-life 3d category reconstruction","J Reizenstein, R Shapovalov - Proceedings of the , 2021 - openaccess.thecvf.com"
"Dynamic neural networks: A survey","Y Han, G Huang, S Song, L Yang - IEEE Transactions on , 2021 - ieeexplore.ieee.org"
"CryoDRGN: reconstruction of heterogeneous cryo-EM structures using neural networks","ED Zhong, T Bepler, B Berger, JH Davis - Nature methods, 2021 - nature.com"
"Video transformer network","D Neimark, O Bar, M Zohar - Proceedings of the , 2021 - openaccess.thecvf.com"
"Locating and editing factual associations in GPT","K Meng, D Bau, A Andonian - Advances in Neural , 2022 - proceedings.neurips.cc"
"Spectral–spatial feature tokenization transformer for hyperspectral image classification","L Sun, G Zhao, Y Zheng, Z Wu - IEEE Transactions on , 2022 - ieeexplore.ieee.org"
"Torsional diffusion for molecular conformer generation","B Jing, G Corso, J Chang - Advances in Neural , 2022 - proceedings.neurips.cc"
"Diverse part discovery: Occluded person re-identification with part-aware transformer","Y Li, J He, T Zhang, X Liu - Proceedings of the , 2021 - openaccess.thecvf.com"
"Understanding robustness of transformers for image classification","S Bhojanapalli, A Chakrabarti - Proceedings of the , 2021 - openaccess.thecvf.com"
"Rethinking graph transformers with spectral attention","D Kreuzer, D Beaini, W Hamilton - Advances in , 2021 - proceedings.neurips.cc"
"Deformable detr: Deformable transformers for end-to-end object detection","X Zhu, W Su, L Lu, B Li, X Wang, J Dai - arXiv preprint arXiv:2010.04159, 2020 - arxiv.org"
"Harnessing multimodal data integration to advance precision oncology","KM Boehm, P Khosravi, R Vanguri, J Gao - Nature Reviews , 2022 - nature.com"
"V2x-vit: Vehicle-to-everything cooperative perception with vision transformer","R Xu, H Xiang, Z Tu, X Xia, MH Yang, J Ma - European conference on , 2022 - Springer"
"Revisiting resnets: Improved training and scaling strategies","I Bello, W Fedus, X Du, ED Cubuk - Advances in , 2021 - proceedings.neurips.cc"
"Human-level play in the game of Diplomacy by combining language models with strategic reasoning","Meta Fundamental AI Research Diplomacy Team  - Science, 2022 - science.org"
"Using cognitive psychology to understand GPT-3","M Binz, E Schulz - Proceedings of the National Academy of , 2023 - National Acad Sciences"
"Transbts: Multimodal brain tumor segmentation using transformer","W Wang, C Chen, M Ding, H Yu, S Zha, J Li - Medical Image Computing , 2021 - Springer"
"Embracing single stride 3d object detector with sparse transformer","L Fan, Z Pang, T Zhang, YX Wang - Proceedings of the , 2022 - openaccess.thecvf.com"
"DeepLoc 2.0: multi-label subcellular localization prediction using protein language models","V Thumuluri, JJ Almagro Armenteros - Nucleic Acids , 2022 - academic.oup.com"
"Adbench: Anomaly detection benchmark","S Han, X Hu, H Huang, M Jiang - Advances in Neural , 2022 - proceedings.neurips.cc"
"Transformer interpretability beyond attention visualization","H Chefer, S Gur, L Wolf -  of the IEEE/CVF conference on , 2021 - openaccess.thecvf.com"
"Rethinking attention with performers","K Choromanski, V Likhosherstov, D Dohan - arXiv preprint arXiv , 2020 - arxiv.org"
"Combining machine learning and computational chemistry for predictive insights into chemical systems","JA Keith, V Vassilev-Galindo, B Cheng - Chemical , 2021 - ACS Publications"
"Mat: Mask-aware transformer for large hole image inpainting","W Li, Z Lin, K Zhou, L Qi, Y Wang - Proceedings of the , 2022 - openaccess.thecvf.com"
"Nüwa: Visual synthesis pre-training for neural visual world creation","C Wu, J Liang, L Ji, F Yang, Y Fang, D Jiang - European conference on , 2022 - Springer"
"Co-scale conv-attentional image transformers","W Xu, Y Xu, T Chang, Z Tu - Proceedings of the IEEE/CVF , 2021 - openaccess.thecvf.com"
"[HTML][HTML] Pre-trained models: Past, present and future","X Han, Z Zhang, N Ding, Y Gu, X Liu, Y Huo, J Qiu - AI Open, 2021 - Elsevier"
"[HTML][HTML] Intelligent metasurfaces: control, communication and computing","L Li, H Zhao, C Liu, L Li, TJ Cui - Elight, 2022 - Springer"
"U-net and its variants for medical image segmentation: A review of theory and applications","N Siddique, S Paheding, CP Elkin - Ieee , 2021 - ieeexplore.ieee.org"
"Max-deeplab: End-to-end panoptic segmentation with mask transformers","H Wang, Y Zhu, H Adam, A Yuille - Proceedings of the , 2021 - openaccess.thecvf.com"
"Supervision exists everywhere: A data efficient contrastive language-image pre-training paradigm","Y Li, F Liang, L Zhao, Y Cui, W Ouyang, J Shao - arXiv preprint arXiv , 2021 - arxiv.org"
"On the integration of self-attention and convolution","X Pan, C Ge, R Lu, S Song, G Chen - Proceedings of the , 2022 - openaccess.thecvf.com"
"Visual saliency transformer","N Liu, N Zhang, K Wan, L Shao - Proceedings of the IEEE , 2021 - openaccess.thecvf.com"
"Lm-nav: Robotic navigation with large pre-trained models of language, vision, and action","D Shah, B Osiński, S Levine - Conference on Robot , 2023 - proceedings.mlr.press"
"Contextual transformer networks for visual recognition","Y Li, T Yao, Y Pan, T Mei - IEEE Transactions on Pattern , 2022 - ieeexplore.ieee.org"
"Training compute-optimal large language models","J Hoffmann, S Borgeaud, A Mensch - arXiv preprint arXiv , 2022 - arxiv.org"
"Generative adversarial networks in medical image augmentation: A review","Y Chen, XH Yang, Z Wei, AA Heidari, N Zheng - Computers in Biology , 2022 - Elsevier"
"Rethinking and improving relative position encoding for vision transformer","K Wu, H Peng, M Chen, J Fu - Proceedings of the IEEE , 2021 - openaccess.thecvf.com"
"Conversational agents in therapeutic interventions for neurodevelopmental disorders: a survey","F Catania, M Spitale, F Garzotto - ACM Computing Surveys, 2023 - dl.acm.org"
"Transforming model prediction for tracking","C Mayer, M Danelljan, G Bhat, M Paul - Proceedings of the , 2022 - openaccess.thecvf.com"
"Gan inversion: A survey","W Xia, Y Zhang, Y Yang, JH Xue - IEEE Transactions on , 2022 - ieeexplore.ieee.org"
"Motr: End-to-end multiple-object tracking with transformer","F Zeng, B Dong, Y Zhang, T Wang, X Zhang - European Conference on , 2022 - Springer"
"Geometric transformer for fast and robust point cloud registration","Z Qin, H Yu, C Wang, Y Guo - Proceedings of the , 2022 - openaccess.thecvf.com"
"Up-detr: Unsupervised pre-training for object detection with transformers","Z Dai, B Cai, Y Lin, J Chen -  of the IEEE/CVF conference on , 2021 - openaccess.thecvf.com"
"Rethinking network design and local geometry in point cloud: A simple residual MLP framework","X Ma, C Qin, H You, H Ran, Y Fu - arXiv preprint arXiv:2202.07123, 2022 - arxiv.org"
"Blended latent diffusion","O Avrahami, O Fried, D Lischinski - ACM Transactions on Graphics , 2023 - dl.acm.org"
"Bevt: Bert pretraining of video transformers","R Wang, D Chen, Z Wu, Y Chen - Proceedings of the , 2022 - openaccess.thecvf.com"
"Large language models are human-level prompt engineers","Y Zhou, AI Muresanu, Z Han, K Paster, S Pitis - arXiv preprint arXiv , 2022 - arxiv.org"
"Beyond english-centric multilingual machine translation","A Fan, S Bhosale, H Schwenk, Z Ma - The Journal of Machine , 2021 - dl.acm.org"
"Vision-language pre-training: Basics, recent advances, and future trends","Z Gan, L Li, C Li, L Wang, Z Liu - Foundations and Trends , 2022 - nowpublishers.com"
"Transgan: Two pure transformers can make one strong gan, and that can scale up","Y Jiang, S Chang, Z Wang - Advances in Neural , 2021 - proceedings.neurips.cc"
"What Makes Good In-Context Examples for GPT-?","J Liu, D Shen, Y Zhang, B Dolan, L Carin - arXiv preprint arXiv , 2021 - arxiv.org"
"Dualprompt: Complementary prompting for rehearsal-free continual learning","Z Wang, Z Zhang, S Ebrahimi, R Sun, H Zhang -  on Computer Vision, 2022 - Springer"
"Agentformer: Agent-aware transformers for socio-temporal multi-agent forecasting","Y Yuan, X Weng, Y Ou - Proceedings of the IEEE , 2021 - openaccess.thecvf.com"
"Fnet: Mixing tokens with fourier transforms","J Lee-Thorp, J Ainslie, I Eckstein, S Ontanon - arXiv preprint arXiv , 2021 - arxiv.org"
"It's not just size that matters: Small language models are also few-shot learners","T Schick, H Schütze - arXiv preprint arXiv:2009.07118, 2020 - arxiv.org"
"Swintrack: A simple and strong baseline for transformer tracking","L Lin, H Fan, Z Zhang, Y Xu - Advances in Neural , 2022 - proceedings.neurips.cc"
"The impact of AlphaFold2 one year on","DT Jones, JM Thornton - Nature methods, 2022 - nature.com"
"Escaping the big data paradigm with compact transformers","A Hassani, S Walton, N Shah, A Abuduweili - arXiv preprint arXiv , 2021 - arxiv.org"
"Advances in neural rendering","A Tewari, J Thies, B Mildenhall - Computer Graphics , 2022 - Wiley Online Library"
"Single-sequence protein structure prediction using a language model and deep learning","R Chowdhury, N Bouatta, S Biswas, C Floristean - Nature , 2022 - nature.com"
"Patches are all you need?","A Trockman, JZ Kolter - arXiv preprint arXiv:2201.09792, 2022 - arxiv.org"
"A survey of human-in-the-loop for machine learning","X Wu, L Xiao, Y Sun, J Zhang, T Ma, L He - Future Generation Computer , 2022 - Elsevier"
"Transformer for single image super-resolution","Z Lu, J Li, H Liu, C Huang, L Zhang - Proceedings of the , 2022 - openaccess.thecvf.com"
"Big bird: Transformers for longer sequences","M Zaheer, G Guruganesh, KA Dubey - Advances in neural , 2020 - proceedings.neurips.cc"
"Domain-specific language model pretraining for biomedical natural language processing","Y Gu, R Tinn, H Cheng, M Lucas, N Usuyama - ACM Transactions on , 2021 - dl.acm.org"
"Efficientformer: Vision transformers at mobilenet speed","Y Li, G Yuan, Y Wen, J Hu - Advances in , 2022 - proceedings.neurips.cc"
"Multimae: Multi-modal multi-task masked autoencoders","R Bachmann, D Mizrahi, A Atanov, A Zamir - European Conference on , 2022 - Springer"
"How to build a cognitive map","JCR Whittington, D McCaffary, JJW Bakermans - Nature , 2022 - nature.com"
"Involution: Inverting the inherence of convolution for visual recognition","D Li, J Hu, C Wang, X Li, Q She, L Zhu - Proceedings of the , 2021 - openaccess.thecvf.com"
"Volo: Vision outlooker for visual recognition","L Yuan, Q Hou, Z Jiang, J Feng - IEEE transactions on , 2022 - ieeexplore.ieee.org"
"Adabelief optimizer: Adapting stepsizes by the belief in observed gradients","J Zhuang, T Tang, Y Ding - Advances in neural , 2020 - proceedings.neurips.cc"
"Luke: deep contextualized entity representations with entity-aware self-attention","I Yamada, A Asai, H Shindo, H Takeda - arXiv preprint arXiv , 2020 - arxiv.org"
"Diffwave: A versatile diffusion model for audio synthesis","Z Kong, W Ping, J Huang, K Zhao - arXiv preprint arXiv , 2020 - arxiv.org"
"Transtrack: Multiple object tracking with transformer","P Sun, J Cao, Y Jiang, R Zhang, E Xie, Z Yuan - arXiv preprint arXiv , 2020 - arxiv.org"
"You only look at one sequence: Rethinking transformer in vision through object detection","Y Fang, B Liao, X Wang, J Fang, J Qi - Advances in , 2021 - proceedings.neurips.cc"
"[HTML][HTML] Ranking the effectiveness of worldwide COVID-19 government interventions","N Haug, L Geyrhofer, A Londei, E Dervic - Nature human , 2020 - nature.com"
"Neural sparse voxel fields","L Liu, J Gu, K Zaw Lin, TS Chua - Advances in Neural , 2020 - proceedings.neurips.cc"
"Layoutlmv3: Pre-training for document ai with unified text and image masking","Y Huang, T Lv, L Cui, Y Lu, F Wei - Proceedings of the 30th ACM , 2022 - dl.acm.org"
"Physdiff: Physics-guided human motion diffusion model","Y Yuan, J Song, U Iqbal, A Vahdat - Proceedings of the , 2023 - openaccess.thecvf.com"
"Flowformer: A transformer architecture for optical flow","Z Huang, X Shi, C Zhang, Q Wang, KC Cheung -  on Computer Vision, 2022 - Springer"
"Holistic evaluation of language models","P Liang, R Bommasani, T Lee, D Tsipras - arXiv preprint arXiv , 2022 - arxiv.org"
"Mpvit: Multi-path vision transformer for dense prediction","Y Lee, J Kim, J Willette - Proceedings of the IEEE , 2022 - openaccess.thecvf.com"
"Improving 3d object detection with channel-wise transformer","H Sheng, S Cai, Y Liu, B Deng - Proceedings of the , 2021 - openaccess.thecvf.com"
" Recent advances in end-to-end automatic speech recognition","J Li - APSIPA Transactions on Signal and Information , 2022 - nowpublishers.com"
"Prottrans: Toward understanding the language of life through self-supervised learning","A Elnaggar, M Heinzinger, C Dallago - IEEE transactions on , 2021 - ieeexplore.ieee.org"
"wav2vec 2.0: A framework for self-supervised learning of speech representations","A Baevski, Y Zhou, A Mohamed - Advances in neural , 2020 - proceedings.neurips.cc"
"Dytox: Transformers for continual learning with dynamic token expansion","A Douillard, A Ramé, G Couairon - Proceedings of the , 2022 - openaccess.thecvf.com"
